chemical_name,representative_casrn,reference_codes,endpoint_count,min_year,max_year
"disodium 4-amino-6-[[4-(N-(4-((E)-(2,4-diaminophenyl)diazenyl)phenyl)sulfamoyl)phenyl)diazenyl)-5-hydroxy-3-((E)-(4-nitrophenyl)diazenyl)naphthalene-2,7-disulfonate",201792-73-6,ECHA endpoint-availability sample,3,,
"1,18-octadecanedioic acid",871-70-5,ECHA endpoint-availability sample,3,,
"Glycerides, mixed C8-10 (even numbered) and succinyl",91744-56-8,ECHA endpoint-availability sample,3,,
Copper neodecanoate,68084-48-0,ECHA endpoint-availability sample,3,,
"4,6-Dichloro-5-fluoropyrimidine",213265-83-9,ECHA endpoint-availability sample,3,,
Triethoxysilylpropyl Dibenzoyl Resorcinol,166255-23-8,ECHA endpoint-availability sample,3,,
1-Ethyl-3-methylimidazolium ethylsulfate,342573-75-5,ECHA endpoint-availability sample,3,,
"tetrasodium 4-amino-5-hydroxy-6-[(2-methoxy-5-{[2-(sulfonatooxy)ethyl]sulfonyl}phenyl)diazenyl]-3-[(4-{[2-(sulfonatooxy)ethyl]sulfonyl}phenyl)diazenyl]naphthalene-2,7-disulfonate",93951-21-4,ECHA endpoint-availability sample,3,,
"1,4,7,10-Tetraazacyclododecane",294-90-6,ECHA endpoint-availability sample,3,,
"Reaction products of 3-(trimethoxysilyl)propane-1-thiol and 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane (1:1).",117172-56-2,ECHA endpoint-availability sample,3,,
"Chromate(5-), bis[6-[[[4-[2-(1-butyl-5-cyano-1,6-dihydro-2-hydroxy-4-methyl-6-oxo-3-pyridinyl)diazenyl]phenyl]sulfonyl]amino]-4-(hydroxy-κO)-3-[2-[2-(hydroxy-κO)-5-nitro-3-sulfophenyl]diazenyl]-2-naphthalenesulfonato(4-)]-, sodium (1:5)",178452-71-6,ECHA endpoint-availability sample,3,,
"4-(4-(4-(hydroxydiphenylmethyl)-1-piperidinyl)-1-butynyl)-.alpha.,.alpha.-dimethylbenzeneacetic acid",832088-68-3,ECHA endpoint-availability sample,3,,
unnamed [91744-20-6],91744-20-6,ECHA endpoint-availability sample,3,,
2-(ethoxymethyl)oxolane,62435-71-6,ECHA endpoint-availability sample,3,,
(E)-3-((2-(2-cyanoethoxy)ethyl)(4-((4-nitrophenyl)diazenyl) phenyl)amino)propanenitrile,70210-10-5,ECHA endpoint-availability sample,3,,
methyl [3-(acetyloxy)-2-pentylcyclopent-2-en-1-yl]acetate,57374-49-9,ECHA endpoint-availability sample,3,,
"Phenyl N-(4,6-dimethoxypyrimidin-2-yl)carbamate",89392-03-0,ECHA endpoint-availability sample,3,,
2-dodecylhexadecan-1-ol,72388-18-2,ECHA endpoint-availability sample,3,,
2-[4-[2-[4-(2-hydroxyethoxy)phenyl]propan-2-yl]phenoxy]ethanol,32492-61-8,ECHA endpoint-availability sample,3,,
Titanium tetrakis(butan-1-olato) polymer with water,162303-51-7,ECHA endpoint-availability sample,3,,
71076-48-7,71076-48-7,ECHA endpoint-availability sample,3,,
3-[benzyl({4-[2-(4-nitrophenyl)diazen-1-yl]phenyl})amino]propanenitrile,96662-24-7,ECHA endpoint-availability sample,3,,
"Acetic acid, C11-14-branched alkyl esters, C13-Rich",108419-35-8,ECHA endpoint-availability sample,3,,
sodium 3-(acryloyloxy)propane-1-sulfonate,15717-25-6,ECHA endpoint-availability sample,3,,
"Fatty acids, soybean oil, conjugated",1176286-43-3,ECHA endpoint-availability sample,3,,
"Formaldehyde, oligomeric reaction products with diethylenetriamine and phenol",55552-95-9,ECHA endpoint-availability sample,3,,
ethaneperoxoic acid,79-21-0,ECHA endpoint-availability sample,3,,
"Glycerides, C16-18 and C18-unsatd. mono-, di- and tri-, citrates, potassium salts",91744-23-9,ECHA endpoint-availability sample,3,,
"sodium 1,4-bis(1,3-dimethylbutoxy)-1,4-dioxobutane-2-sulfonate",2373-38-8,ECHA endpoint-availability sample,3,,
"Resin acids and Rosin acids, fumarated, esters with pentaerythritol",94581-15-4,ECHA endpoint-availability sample,3,,
"UVCB substance, no IUPAC name available, alternative EC chemical name: Fatty acids, C6-24 and C6-24-unsatd., Me esters, distn. Residues",102242-52-4,ECHA endpoint-availability sample,3,,
"Fatty acids, C18-unsatd, dimers, hydrogenated, diisopropyl esters",103213-20-3,ECHA endpoint-availability sample,3,,
"Bis(2,8,9-Trioxa-5-aza-1-silabicyclo(3.3.3)undecane-1-propane-)disulfide",883794-93-2,ECHA endpoint-availability sample,3,,
(2-butyl-5-nitrobenzofuran-3-yl)[4-(3-dibutylaminopropoxy)phenyl]methanone,141645-23-0,ECHA endpoint-availability sample,3,,
"2,4,8,10-tetrakis (1,1-dimethyl ethyl)-6-(2-ethylhexyloxy)-12H-dibenzo [d,g] [1,3,2] dioxaphosphocin",126050-54-2,ECHA endpoint-availability sample,3,,
"Alkenes, C10-14",85681-75-0,ECHA endpoint-availability sample,3,,
"Reaction mass of [3-(trimethoxysilyl) propyl]urea, [3-(dimethoxyethoxysilyl) propyl]urea, [3-(methoxydiethoxysilyl) propyl]urea and [3-(triethoxysilyl) propyl]urea.",116912-64-2,ECHA endpoint-availability sample,3,,
"Alkenes, C8-10-branched, C9-rich",97593-01-6,ECHA endpoint-availability sample,3,,
4-(trans-4-Propylcyclohexyl)-acetophenone,78531-61-0,ECHA endpoint-availability sample,3,,
zinc bis(2-hydroxypropanoate),16039-53-5,ECHA endpoint-availability sample,3,,
zinc(2+) ion 2-({2-[(carboxylatomethyl)amino]ethyl}(carboxymethyl)amino)acetate diamine,67859-51-2,ECHA endpoint-availability sample,3,,
"potassium 3,5,5-trimethylhexanoate",93918-10-6,ECHA endpoint-availability sample,3,,
"2-ethylhexanoic acid, zirconium salt",22464-99-9,ECHA endpoint-availability sample,3,,
2-methyl-5-phenylpentanol,25634-93-9,ECHA endpoint-availability sample,3,,
"Kerosine (petroleum), sweetened",91770-15-9,ECHA endpoint-availability sample,3,,
"disodium 2-(2,4,5,7-tetraiodo-6-oxido-3-oxoxanthen-9-yl)benzoate",16423-68-0,ECHA endpoint-availability sample,3,,
"Butanal, reaction products with aniline",68411-20-1,ECHA endpoint-availability sample,3,,
"N,N-dibutyl-N-ethylbutan-1-aminium ethyl sulfate",68052-51-7,ECHA endpoint-availability sample,3,,
"1,1,5,5-tetramethylhexahydro-2H-2,4a-methanonaphthalen-8(5H)-one",23787-90-8,ECHA endpoint-availability sample,3,,
Methyl-2-(2-chloromethylphenyl)-3-methoxy-2-acrylate,117428-51-0,ECHA endpoint-availability sample,3,,
"2,6-Octadienal, 3,7-dimethyl-, acid-isomerized",90480-35-6,ECHA endpoint-availability sample,3,,
Zirconium tetrakis(propa-1-olato),23519-77-9,ECHA endpoint-availability sample,3,,
"Distillates (petroleum), steam-cracked, C8-12 fraction",68477-54-3,ECHA endpoint-availability sample,3,,
"sodium 1,4-dicyclohexyloxy-1,4-dioxobutane-2-sulfonate",23386-52-9,ECHA endpoint-availability sample,3,,
