case_id,chemical_id,chemical_name,casrn,dtxsid,smiles,inchikey,endpoint,endpoint_code,effect,measurement,species,common_name,phylum,class_name,order,family,genus,species_group,duration_h,medium,temperature_c,ph,ctx_hardness,study_year,source,structure_source,chemical_class,toxicity_value,toxicity_unit,molar_concentration,target_log_molar,physchem_mol_wt,physchem_logp,known_ood,is_hard_ood,case_row_count,document_count,asset_ids,document_keys,document_urls,case_spread_log_molar,species_canon,regulatory_species,regulatory_taxon,study_type,nominal_or_measured,conc_based_on,basis_for_effect,freshwater_keyword_flag,standard_species_flag,mech_cytotox_hit_rate,mech_cytotox_lower_log10_um,mech_cytotox_lower_um,mech_cytotox_median_log10_um,mech_cytotox_median_um,mech_cytotox_nhit,mech_cytotox_ntested,mech_feature_count,mech_h295r_active_endpoint_count,mech_h295r_andr_max_abs,mech_h295r_bmd_min,mech_h295r_cort_max_abs,mech_h295r_cortic_max_abs,mech_h295r_critical_val,mech_h295r_doc_max_abs,mech_h295r_e1_max_abs,mech_h295r_e2_max_abs,mech_h295r_maxmmd_max,mech_h295r_mean_abs,mech_h295r_mmd_max,mech_h295r_ohpreg_max_abs,mech_h295r_ohprog_max_abs,mech_h295r_prog_max_abs,mech_h295r_testo_max_abs,mech_h295r_x11dcort_max_abs,mech_lit_ar_agonist,mech_lit_ar_antagonist,mech_lit_ar_binding,mech_lit_er_agonist,mech_lit_er_antagonist,mech_lit_er_binding,mech_toxcast_ar_auc_agonist,mech_toxcast_ar_auc_antagonist,mech_toxcast_er_auc_agonist,mech_toxcast_er_auc_antagonist,external_subset,source_case_id,external_source_cohort,external_source_status,source_record_id,summary_value_mg_l,source_value_corrected,source_report,source_pages,source_quality_status,source_quality_flags,source_url,summary_page,summary_row_on_page
japan_moe__japan_moe_100-69-6_algae_72_96h_ec50_p10_r12,100-69-6,2-Vinylpyridine,100-69-6,DTXSID1026667,C=CC1=NC=CC=C1,KGIGUEBEKRSTEW-UHFFFAOYSA-N,algae_72_96h_ec50,EC50,GRO,GGRO,Pseudokirchneriella subcapitata,Green Alga,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,Pseudokirchneriella,Algae;Standard Test Species,72.0,FW,,,,2001.0,japan_moe_official_summary,dsstox_casrn,unclassified,64.4,mg/L,0.000612516644474,-3.212882105322594,105.13999999999996,,True,False,1,1,,,,0.0,,,,official_summary_table,nominal concentration,test material,growth rate; source report 24-72 h ErC50,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,japan_moe_100-69-6_algae_72_96h_ec50_p10_r12,Japan_MOE_official_summary,primary_source_aligned,MOE:10:12:algae_72_96h_ec50,62.0,True,100-69-6_algae_39233.pdf,"5,9,15",primary_source_aligned,24-72 h ErC50 = 64.4 mg/L; report uses nominal concentration.,https://www.env.go.jp/content/000316616.pdf,10.0,12.0
japan_moe__japan_moe_100-69-6_daphnia_48h_ec50_p10_r12,100-69-6,2-Vinylpyridine,100-69-6,DTXSID1026667,C=CC1=NC=CC=C1,KGIGUEBEKRSTEW-UHFFFAOYSA-N,daphnia_48h_ec50,EC50,ITX,IMBL,Daphnia magna,Water Flea,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,Crustaceans;Standard Test Species,48.0,FW,,,,2001.0,japan_moe_official_summary,dsstox_casrn,unclassified,9.48,mg/L,9.016549362754426e-05,-4.04495963534434,105.13999999999996,,True,False,1,1,,,,0.0,,,,official_summary_table,time-weighted measured concentration,test material,immobilisation; source report 48 h EC50,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,japan_moe_100-69-6_daphnia_48h_ec50_p10_r12,Japan_MOE_official_summary,primary_source_aligned,MOE:10:12:daphnia_48h_ec50,9.5,True,100-69-6_daphnia_39231.pdf,"5,13",primary_source_aligned,48 h EC50 = 9.48 mg/L; report uses the time-weighted measured concentration.,https://www.env.go.jp/content/000316616.pdf,10.0,12.0
japan_moe__japan_moe_100-69-6_fish_96h_lc50_p10_r12,100-69-6,2-Vinylpyridine,100-69-6,DTXSID1026667,C=CC1=NC=CC=C1,KGIGUEBEKRSTEW-UHFFFAOYSA-N,fish_96h_lc50,LC50,MOR,MORT,Oryzias latipes,Japanese Medaka,Chordata,Actinopterygii,Beloniformes,Adrianichthyidae,Oryzias,Fish;Standard Test Species,96.0,FW,,,,2001.0,japan_moe_official_summary,dsstox_casrn,unclassified,6.48,mg/L,6.163210956819482e-05,-4.210192966811813,105.13999999999996,,True,False,1,1,,,,0.0,,,,official_summary_table,nominal concentration,test material,mortality; source report 96 h LC50,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,japan_moe_100-69-6_fish_96h_lc50_p10_r12,Japan_MOE_official_summary,primary_source_aligned,MOE:10:12:fish_96h_lc50,6.5,True,100-69-6_fish_39230.pdf,"5,13",primary_source_aligned,96 h LC50 = 6.48 mg/L; report uses nominal concentration because measured values were within 20% of nominal.,https://www.env.go.jp/content/000316616.pdf,10.0,12.0
japan_moe__japan_moe_101-02-0_daphnia_48h_ec50_p10_r15,101-02-0,Triphenyl phosphite,101-02-0,DTXSID0026252,O(P(OC1=CC=CC=C1)OC1=CC=CC=C1)C1=CC=CC=C1,HVLLSGMXQDNUAL-UHFFFAOYSA-N,daphnia_48h_ec50,EC50,ITX,IMBL,Daphnia magna,Water Flea,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,Crustaceans;Standard Test Species,48.0,FW,,,,2006.0,japan_moe_official_summary,dsstox_casrn,unclassified,0.45,mg/L,1.4502608858193492e-06,-5.838553865985495,310.289,,True,False,1,1,,,,0.0,,,,official_summary_table,not specified in summary,test material,immobilisation (Japanese table header: acute swimming inhibition),True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,japan_moe_101-02-0_daphnia_48h_ec50_p10_r15,Japan_MOE_official_summary,official_summary_source,MOE:10:15:daphnia_48h_ec50,0.45,False,,,official_summary_source,official_summary_not_individual_report_reviewed,https://www.env.go.jp/content/000316616.pdf,10.0,15.0
japan_moe__japan_moe_101-14-4_daphnia_48h_ec50_p10_r16,101-14-4,"4,4'-Methylenebis(2-chloroaniline)",101-14-4,DTXSID5020865,NC1=C(Cl)C=C(CC2=CC(Cl)=C(N)C=C2)C=C1,IBOFVQJTBBUKMU-UHFFFAOYSA-N,daphnia_48h_ec50,EC50,ITX,IMBL,Daphnia magna,Water Flea,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,Crustaceans;Standard Test Species,48.0,FW,,,,2001.0,japan_moe_official_summary,dsstox_casrn,unclassified,0.92,mg/L,3.4436421756332373e-06,-5.462981981847146,267.159,,True,False,1,1,,,,0.0,,,,official_summary_table,not specified in summary,test material,immobilisation (Japanese table header: acute swimming inhibition),True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,japan_moe_101-14-4_daphnia_48h_ec50_p10_r16,Japan_MOE_official_summary,official_summary_source,MOE:10:16:daphnia_48h_ec50,0.92,False,,,official_summary_source,official_summary_not_individual_report_reviewed,https://www.env.go.jp/content/000316616.pdf,10.0,16.0
japan_moe__japan_moe_101-14-4_fish_96h_lc50_p10_r16,101-14-4,"4,4'-Methylenebis(2-chloroaniline)",101-14-4,DTXSID5020865,NC1=C(Cl)C=C(CC2=CC(Cl)=C(N)C=C2)C=C1,IBOFVQJTBBUKMU-UHFFFAOYSA-N,fish_96h_lc50,LC50,MOR,MORT,Oryzias latipes,Japanese Medaka,Chordata,Actinopterygii,Beloniformes,Adrianichthyidae,Oryzias,Fish;Standard Test Species,96.0,FW,,,,2001.0,japan_moe_official_summary,dsstox_casrn,unclassified,0.61,mg/L,2.28328448601769e-06,-5.641439974181934,267.159,,True,False,1,1,,,,0.0,,,,official_summary_table,not specified in summary,test material,mortality,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,japan_moe_101-14-4_fish_96h_lc50_p10_r16,Japan_MOE_official_summary,official_summary_source,MOE:10:16:fish_96h_lc50,0.61,False,,,official_summary_source,official_summary_not_individual_report_reviewed,https://www.env.go.jp/content/000316616.pdf,10.0,16.0
japan_moe__japan_moe_101-77-9_algae_72_96h_ec50_p10_r18,101-77-9,"4,4'-Methylenedianiline",101-77-9,DTXSID6022422,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,YBRVSVVVWCFQMG-UHFFFAOYSA-N,algae_72_96h_ec50,EC50,GRO,GGRO,Pseudokirchneriella subcapitata,Green Alga,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,Pseudokirchneriella,Algae;Standard Test Species,72.0,FW,,,,2001.0,japan_moe_official_summary,dsstox_casrn,unclassified,12.0,mg/L,6.052383378137783e-05,-4.218073570117405,198.269,,True,False,1,1,,,,0.0,,,,official_summary_table,not specified in summary,test material,growth rate,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,japan_moe_101-77-9_algae_72_96h_ec50_p10_r18,Japan_MOE_official_summary,official_summary_source,MOE:10:18:algae_72_96h_ec50,12.0,False,,,official_summary_source,official_summary_not_individual_report_reviewed,https://www.env.go.jp/content/000316616.pdf,10.0,18.0
japan_moe__japan_moe_101-77-9_daphnia_48h_ec50_p10_r18,101-77-9,"4,4'-Methylenedianiline",101-77-9,DTXSID6022422,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,YBRVSVVVWCFQMG-UHFFFAOYSA-N,daphnia_48h_ec50,EC50,ITX,IMBL,Daphnia magna,Water Flea,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,Crustaceans;Standard Test Species,48.0,FW,,,,2001.0,japan_moe_official_summary,dsstox_casrn,unclassified,2.5,mg/L,1.2609132037787046e-05,-4.899314807492993,198.269,,True,False,1,1,,,,0.0,,,,official_summary_table,not specified in summary,test material,immobilisation (Japanese table header: acute swimming inhibition),True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,japan_moe_101-77-9_daphnia_48h_ec50_p10_r18,Japan_MOE_official_summary,official_summary_source,MOE:10:18:daphnia_48h_ec50,2.5,False,,,official_summary_source,official_summary_not_individual_report_reviewed,https://www.env.go.jp/content/000316616.pdf,10.0,18.0
japan_moe__japan_moe_101-77-9_fish_96h_lc50_p10_r18,101-77-9,"4,4'-Methylenedianiline",101-77-9,DTXSID6022422,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,YBRVSVVVWCFQMG-UHFFFAOYSA-N,fish_96h_lc50,LC50,MOR,MORT,Oryzias latipes,Japanese Medaka,Chordata,Actinopterygii,Beloniformes,Adrianichthyidae,Oryzias,Fish;Standard Test Species,96.0,FW,,,,2001.0,japan_moe_official_summary,dsstox_casrn,unclassified,21.0,mg/L,0.0001059167091174,-3.975035521431111,198.269,,True,False,1,1,,,,0.0,,,,official_summary_table,not specified in summary,test material,mortality,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,japan_moe_101-77-9_fish_96h_lc50_p10_r18,Japan_MOE_official_summary,official_summary_source,MOE:10:18:fish_96h_lc50,21.0,False,,,official_summary_source,official_summary_not_individual_report_reviewed,https://www.env.go.jp/content/000316616.pdf,10.0,18.0
japan_moe__japan_moe_101-80-4_algae_72_96h_ec50_p10_r19,101-80-4,"4,4'-Diaminodiphenyl ether",101-80-4,DTXSID0021094,NC1=CC=C(OC2=CC=C(N)C=C2)C=C1,HLBLWEWZXPIGSM-UHFFFAOYSA-N,algae_72_96h_ec50,EC50,GRO,GGRO,Pseudokirchneriella subcapitata,Green Alga,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,Pseudokirchneriella,Algae;Standard Test Species,72.0,FW,,,,2006.0,japan_moe_official_summary,dsstox_casrn,unclassified,28.0,mg/L,0.0001398315030388,-3.8543949741222976,200.241,,True,False,1,1,,,,0.0,,,,official_summary_table,not specified in summary,test material,growth rate,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,japan_moe_101-80-4_algae_72_96h_ec50_p10_r19,Japan_MOE_official_summary,official_summary_source,MOE:10:19:algae_72_96h_ec50,28.0,False,,,official_summary_source,official_summary_not_individual_report_reviewed,https://www.env.go.jp/content/000316616.pdf,10.0,19.0
